,group,variable,month,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
QUIABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,3,18,25,20,28,48
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,450,417,915,764,1365,1181,2546
QUIME,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,10,64,57,77,67,144
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,3,7,3,8,11
RAVELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,7,108,94,123,101,224
REYES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,80,77,80,77,157
RIBERALTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,105,96,679,693,784,789,1573
ROBORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,1,86,85,89,86,175
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,2,72,68,74,70,144
SABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,4,22,13,35,17,52
SACABA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,85,85,858,869,943,954,1897
SACABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,11,9,29,16,40,25,65
SACACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,20,14,183,151,203,165,368
SAIPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,51,34,51,34,85
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,7,117,96,124,103,227
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,3,59,63,67,66,133
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,3,7,3,9,6,15
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,8,42,47,49,55,104
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,1,12,16,19,17,36
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,2,5,6,9,8,17
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,8,53,63,56,71,127
SAN BENITO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,7,78,96,81,103,184
SAN BORJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,261,208,262,209,471
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,4,51,46,55,50,105
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,19,19,142,137,161,156,317
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,32,34,189,168,221,202,423
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,70,51,401,384,471,435,906
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,13,5,6,17,19,36
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,9,62,52,69,61,130
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,3,35,30,35,33,68
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,22,30,33,39,55,69,124
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,6,71,50,75,56,131
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,17,26,382,366,399,392,791
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,1,14,19,16,20,36
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,19,18,181,182,200,200,400
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,15,17,296,285,311,302,613
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,25,24,51,41,76,65,141
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,7,128,108,137,115,252
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,10,11,11,11,22
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,8,110,96,114,104,218
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,23,19,187,206,210,225,435
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,2,31,23,33,25,58
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,2,5,4,10,6,16
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,0,23,19,29,19,48
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,1,12,10,13,11,24
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,10,60,51,69,61,130
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,1,27,26,27,27,54
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,10,45,40,54,50,104
SANTA ANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,106,7,5,5,111,12,123
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1605,1462,2675,2387,4280,3849,8129
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,48,45,48,45,93
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,13,99,95,112,108,220
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,1,18,14,21,15,36
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,7,63,83,73,90,163
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,2,33,43,35,45,80
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,8,24,23,25,31,56
SANTIVAÑES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,3,46,37,47,40,87
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,2,26,22,27,24,51
SAPAHAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,3,46,47,53,50,103
SENA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,2,22,24,27,26,53
SHINAOTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,26,15,206,164,232,179,411
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,19,24,119,94,138,118,256
SICAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,2,39,38,45,40,85
SIPE SIPE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,53,57,367,352,420,409,829
SOPACHUY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,3,58,53,62,56,118
SORACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,8,92,76,97,84,181
SORATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,6,120,105,132,111,243
SUCRE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,348,311,1857,1794,2205,2105,4310
TACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,2,3,11,4,13,17
TACACOMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,3,27,30,37,33,70
TACOBAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,9,63,68,69,77,146
TACOPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,1,57,50,63,51,114
TAHUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,2,5,6,6,8,14
TAPACARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,30,24,235,218,265,242,507
TARABUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,9,105,95,113,104,217
TARACO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,0,24,21,29,21,50
TARATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,3,76,83,77,86,163
TARIJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,302,293,1004,966,1306,1259,2565
TARVITA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,2,116,84,121,86,207
TEOPONTE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,6,59,79,63,85,148
TIAWANACU,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,7,50,73,63,80,143
TINGUIPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,13,134,122,148,135,283
TIPUANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,12,94,83,106,95,201
TIQUIPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,47,57,427,381,474,438,912
TIRAQUE (CBBA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,20,157,133,165,153,318
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,0,0,5,6,5,6,11
TOCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,13,1,34,37,47,38,85
TOLATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,6,38,29,43,35,78
TOLEDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,2,34,37,38,39,77
TOMAVE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,6,83,76,89,82,171
TOMINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,9,4,66,66,75,70,145
TORO TORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,6,3,76,60,82,63,145
TOTORA(CBBA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,21,15,137,105,158,120,278
TOTORA(ORR),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,10,9,35,21,45,30,75
TRIGAL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,0,10,8,11,8,19
TRINIDAD,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,97,81,412,423,509,504,1013
TUPIZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,36,42,260,229,296,271,567
TURCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,4,24,42,25,46,71
UMALA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,0,51,49,54,49,103
UNCIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,16,10,155,143,171,153,324
URIONDO (A. CONCEPCION),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,23,30,87,82,110,112,222
URUBICHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,4,57,51,59,55,114
UYUNI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,17,10,147,146,164,156,320
VACAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,8,5,66,60,74,65,139
VALLEGRANDE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,12,16,73,85,85,101,186
VIACHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,51,55,320,331,371,386,757
VILA VILA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,1,2,38,41,39,43,82
VILLA CHARCAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,16,7,117,125,133,132,265
VILLA MONTES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,20,17,207,203,227,220,447
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,1,28,40,33,41,74
VILLA RIVERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,14,14,80,65,94,79,173
VILLA SERRANO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,17,17,76,65,93,82,175
VILLA TUNARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,126,118,583,555,709,673,1382
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,2,71,45,78,47,125
VILLAZON,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,36,30,244,237,280,267,547
VINTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,80,70,180,198,260,268,528
VITICHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,5,62,64,67,69,136
WALDO BALLIVIAN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,0,17,19,19,19,38
WARNES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,92,68,348,333,440,401,841
YACO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,7,15,50,45,57,60,117
YACUIBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,207,154,480,458,687,612,1299
YAMPARAEZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,3,49,41,54,44,98
YANACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,2,5,27,33,29,38,67
YAPACANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,34,37,364,323,398,360,758
YOCALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,17,15,70,61,87,76,163
YOTALA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,4,4,42,55,46,59,105
YUNCHARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,5,11,56,48,61,59,120
ZUDAÑEZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-01-01,3,4,55,49,58,53,111
ACACIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,4,44,48,47,52,99
ACHACACHI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,25,42,150,150,175,192,367
ACHOCALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,7,11,66,63,73,74,147
AIQUILE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,20,18,187,186,207,204,411
ALALAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,2,17,19,20,21,41
ALCALA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,3,29,30,31,33,64
ALTO BENI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,15,16,54,42,69,58,127
ANCORAIMES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,12,7,72,83,84,90,174
ANDAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,2,16,23,16,25,41
ANTEQUERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,0,1,16,19,16,20,36
ANZALDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,12,8,56,54,68,62,130
APOLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,11,15,100,92,111,107,218
ARAMPAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,6,6,38,31,44,37,81
ARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,10,7,72,71,82,78,160
ARBIETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,12,11,119,106,131,117,248
ARQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,9,8,107,104,116,112,228
ASCENCION DE GUARAYOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,24,30,97,98,121,128,249
ATOCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,17,15,78,70,95,85,180
AUCAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,2,0,32,38,34,38,72
AYATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-02-01,3,8,46,42,49,50,99
