municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
SAN AGUSTIN,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,17,17
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,117,117
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,28,28
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,45,45
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,31,31
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,94,94
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,39,39
SAN JOAQUIN,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,39,39
SAN JUAN DE YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,48,48
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,36,36
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,17,17
SAN PABLO DE LIPEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,40,40
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,10,10
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,9,9
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,49,49
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1054,1054
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
SANTIAGO DE CALLAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
SENA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,50,50
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,20,20
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,24,24
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,14,14
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,89,89
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
TAHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,15,15
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,222,222
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,23,23
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,17,17
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,22,22
TINGUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,16,16
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,19,19
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,107,107
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,24,24
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,12,12
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,21,21
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
TRIGAL,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,300,300
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,44,44
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,2,2
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,34,34
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,5,5
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,23,23
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,62,62
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,16,16
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,38,38
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,1,1
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,3,3
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,11,11
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,120,120
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,61,61
YACO,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,8,8
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,86,86
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,13,13
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,87,87
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,6,6
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,7,7
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-03-01,4,4
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,5,5
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,45,45
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,12,12
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,9,9
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,2,2
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,1,1
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,9,9
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,20,20
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,5,5
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,2,2
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,4,4
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,26,26
ARAMPAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,8,8
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,12,12
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,17,17
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,10,10
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,84,84
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,7,7
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,8,8
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,11,11
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,22,22
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,9,9
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,18,18
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,6,6
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,2,2
BELLA FLOR,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,1,1
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,10,10
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,34,34
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,11,11
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,5,5
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,8,8
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,48,48
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,11,11
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,5,5
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-04-01,11,11
