municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,31,31
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,10,10
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,6,6
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
POROMA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,13,13
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,21,21
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,58,58
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,10,10
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,79,79
REYES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,12,12
SABAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,47,47
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,16,16
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,68,68
SAIPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,15,15
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,6,6
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SAN IGNACIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,25,25
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,13,13
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,7,7
TACOBAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,18,18
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,14,14
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,1,1
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,11,11
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,11,11
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,18,18
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,7,7
TURCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,2,2
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,9,9
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
VACAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
VILLA MONTES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,3,3
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,10,10
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
VILLAZON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,7,7
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,5,5
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,7,7
YACUIBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,8,8
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,21,21
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,17,17
ZUDAÑEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-12-01,11,11
