municipality,group,variable,month,Total 1310 Días camas disponibles otros servicios,TOTAL
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,129,129
HUACHACALLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
HUANUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1456,1456
HUARACAJE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
HUARINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,31,31
HUAYLLAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
HUMANATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
ICLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,252,252
INCAHUASI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
INGAVI (HUMAITA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
IRUPANA (VILLA DE LANZA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,372,372
IXIAMAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
JESUS DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,364,364
LA ASUNTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
LA GUARDIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1036,1036
LA PAZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,63852,63852
LAGUNILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
LAS CARRERAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
LORETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,58,58
LURIBAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
MACHACAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
MACHARETI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,392,392
MAGDALENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,252,252
MAIRANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
MAPIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
MINEROS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
MIZQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,756,756
MOJOCOYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,299,299
MONTEAGUDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1399,1399
MONTERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,3830,3830
MORO MORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
MOROCHATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,286,286
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,60,60
NAZACARA DE PACAJES,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
OCURI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,336,336
OKINAWA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
OMEREQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,120,120
ORURO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,14682,14682
PADILLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,420,420
PAILON,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,446,446
PALOS BLANCOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,280,280
PAMPA GRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
PASORAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
PATACAMAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
PAZÑA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
POCOATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
POCONA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,252,252
POJO (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
POOPO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,93,93
POROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,591,591
PORONGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,308,308
PORTACHUELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,616,616
PORVENIR,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,141,141
POSTRER VALLE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
POTOSI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,10696,10696
PRESTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,123,123
PUCARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
PUERTO CARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
PUERTO GONZALO MORENO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,23,23
PUERTO QUIJARRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,186,186
PUERTO RICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,239,239
PUERTO SUAREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1204,1204
PUERTO VILLARROEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1511,1511
PUNA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
PUNATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1428,1428
QUILLACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1102,1102
QUIME,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
QUIRUSILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
RAVELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
REYES,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
RIBERALTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,2408,2408
ROBORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1393,1393
RURRENABAQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,588,588
SABAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,28,28
SACABA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1792,1792
SACABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
SACACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,280,280
SAIPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,127,127
SALINAS DE GARCI MENDOZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
SAMAIPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
SAN ANTONIO DE LOMERIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
SAN BENITO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
SAN BORJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,476,476
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
SAN CARLOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,970,970
SAN IGNACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,728,728
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1708,1708
SAN JAVIER(BNI),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,29,29
SAN JAVIER(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,280,280
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1120,1120
SAN JUAN DE YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,551,551
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,1568,1568
SAN LORENZO(PND),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,80,80
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,656,656
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,561,561
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
SAN PEDRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,428,428
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
SAN PEDRO DE TIQUINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,26,26
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,364,364
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,392,392
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,54383,54383
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
SANTIAGO DE HUARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
SANTUARIO DE QUILLACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
SENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,118,118
SHINAOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,700,700
SICAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,121,121
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,782,782
SORACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
SORATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,196,196
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,32448,32448
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,140,140
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,224,224
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,448,448
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,168,168
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,14196,14196
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,532,532
TIPUANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,112,112
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,672,672
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,84,84
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,56,56
TOLEDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,89,89
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-02-01,420,420
