municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,25,25
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,24,24
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,285,285
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,64,64
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,311,311
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,166,166
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,546,546
SAN JAVIER(BNI),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,61,61
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,17,17
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,213,213
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,205,205
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,262,262
SAN LORENZO(PND),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,10,10
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,69,69
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,113,113
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,19,19
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,442,442
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,12,12
SAN PEDRO DE TIQUINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,55,55
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,67,67
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,32,32
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,302,302
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,39645,39645
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,85,85
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,19,19
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,9,9
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2,2
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,50,50
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,117,117
SICAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,28,28
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,34,34
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,14,14
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,24130,24130
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,131,131
TARATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1,1
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,10261,10261
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,20,20
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,63,63
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,193,193
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,8,8
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,23,23
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,33,33
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,8,8
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2986,2986
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,1643,1643
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,6,6
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,19,19
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,358,358
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,250,250
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,278,278
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,508,508
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,5,5
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,22,22
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,775,775
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,14,14
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,426,426
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,196,196
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,449,449
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,2415,2415
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,314,314
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,13,13
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-02-01,21,21
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,98,98
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,341,341
ANTEQUERA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,76,76
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,42,42
ARQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,374,374
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,364,364
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,83,83
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,29,29
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,88,88
BELLA FLOR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,5,5
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,752,752
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,18,18
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,50,50
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,24,24
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,37,37
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,10,10
CALACOTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6,6
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,365,365
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,805,805
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,29,29
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,4,4
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,380,380
CARAPARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,9,9
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,14,14
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,212,212
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,328,328
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,5,5
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,237,237
CHUMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,79,79
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1682,1682
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,31878,31878
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,206,206
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1,1
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,89,89
COLQUECHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,7,7
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,96,96
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,25,25
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,346,346
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,42,42
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,102,102
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,120,120
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6,6
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,38,38
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,7857,7857
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,32,32
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1292,1292
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,14,14
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,8,8
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,50,50
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,78,78
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,148,148
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,24,24
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,1274,1274
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,71,71
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,171,171
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,5,5
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,305,305
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,27,27
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6,6
HUMANATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,3,3
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,20,20
INQUISIVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,12,12
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,35,35
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,42,42
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,79,79
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,366,366
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,49767,49767
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,4,4
LAS CARRERAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6,6
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,427,427
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,15,15
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,217,217
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,106,106
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,19,19
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,45,45
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,127,127
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,34,34
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,576,576
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2321,2321
MORO MORO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
OCURI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6,6
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,93,93
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,9,9
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,6721,6721
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,308,308
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,143,143
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,80,80
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-03-01,2,2
