municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
LAS CARRERAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,12,12
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,362,362
MACHACAMARCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,20,20
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,109,109
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,46,46
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,50,50
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,26,26
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,119,119
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,8,8
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,658,658
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1808,1808
MORO MORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
MOROCHATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,90,90
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,62,62
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5297,5297
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,120,120
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,76,76
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,139,139
PASORAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,4,4
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,60,60
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
POOPO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
POROMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,7,7
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,872,872
PORVENIR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
POSTRER VALLE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6620,6620
PRESTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
PUCARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,13,13
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,7,7
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,147,147
PUERTO RICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,71,71
PUERTO SILES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,4,4
PUERTO SUAREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,309,309
PUERTO VILLARROEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,542,542
PUNA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,47,47
PUNATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,450,450
QUILLACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,51,51
QUIME,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,13,13
QUIRUSILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
REYES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,31,31
RIBERALTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1980,1980
ROBORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,135,135
RURRENABAQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,315,315
SACABA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,701,701
SACABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
SACACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,17,17
SAIPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,21,21
SAMAIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,72,72
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,15,15
SAN BORJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,271,271
SAN BUENA VENTURA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,53,53
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1380,1380
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,185,185
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1449,1449
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,25,25
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,31,31
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,129,129
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,371,371
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,453,453
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,22,22
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,59,59
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,37,37
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,71,71
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5093,5093
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,102,102
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,76,76
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,71,71
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,233,233
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,33724,33724
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,65,65
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,38,38
SANTIAGO DE HUARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,8,8
SENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,231,231
SICAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,82,82
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,9,9
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,22971,22971
TACOPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,9,9
TAPACARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
TARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,129,129
TARATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,9023,9023
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,57,57
TEOPONTE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,97,97
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,86,86
TIRAQUE (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,17,17
TOLEDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,12,12
TORO TORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,10,10
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,31,31
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,8,8
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3028,3028
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,427,427
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,27,27
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,18,18
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,254,254
VACAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1,1
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,315,315
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,183,183
VILA VILA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,3,3
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,606,606
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,5,5
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1071,1071
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,27,27
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,593,593
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,49,49
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,473,473
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,1739,1739
YAMPARAEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,6,6
YANACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,2,2
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,590,590
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,29,29
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-02-01,33,33
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,51,51
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,199,199
ALCALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1,1
ANCORAIMES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,2,2
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1,1
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,25,25
ARAMPAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,3,3
ARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1,1
ARBIETO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,298,298
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,537,537
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,56,56
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,24,24
BATALLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,3,3
BAURES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,23,23
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,690,690
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,20,20
BOYUIBE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,69,69
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,66,66
CABEZAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,38,38
CALACOTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,2,2
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,427,427
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1414,1414
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,102,102
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,29,29
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,460,460
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,5,5
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,45,45
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,89,89
CHAQUI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1,1
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,245,245
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,39,39
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,23,23
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,220,220
CHUMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,2,2
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,27,27
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-03-01,1346,1346
