municipality,group,variable,month,l 1310 Días camas disponibles otros servicios,TOTAL
COLQUIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,406,406
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,697,697
CONCEPCION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,435,435
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,232,232
CORIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,928,928
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,261,261
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,638,638
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,667,667
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,493,493
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,261,261
DESAGUADERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,10933,10933
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,145,145
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2494,2494
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,304,304
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,290,290
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,493,493
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,493,493
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,24,24
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,232,232
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,459,459
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,290,290
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,464,464
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,83,83
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1334,1334
HUARACAJE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
HUAYLLAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
HUMANATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,57,57
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
INCAHUASI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,270,270
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,348,348
IXIAMAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
JESUS DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
LA ASUNTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,337,337
LA GUARDIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1073,1073
LA PAZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,64158,64158
LAGUNILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
LAS CARRERAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
LLALLAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1189,1189
LLICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
LURIBAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
MACHACAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
MACHARETI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,395,395
MAGDALENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,232,232
MAIRANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
MAPIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
MINEROS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,290,290
MIZQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,841,841
MOCOMOCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
MOJOCOYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,253,253
MONTEAGUDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1421,1421
MONTERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2720,2720
MORO MORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
MOROCHATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
NAZACARA DE PACAJES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
OCURI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,120,120
OKINAWA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
OMEREQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
ORURO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,9599,9599
PADILLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,435,435
PAILON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,254,254
PALOS BLANCOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,377,377
PASORAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
PATACAMAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,377,377
PAZÑA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
POCOATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
POCONA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
POJO (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
POOPO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
POROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,580,580
PORONGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
PORTACHUELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,551,551
PORVENIR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
POSTRER VALLE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
POTOSI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,10614,10614
PRESTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,110,110
PUCARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
PUCARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,145,145
PUERTO CARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
PUERTO GONZALO MORENO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,79,79
PUERTO RICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,139,139
PUERTO SILES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,25,25
PUERTO SUAREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1225,1225
PUERTO VILLARROEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1102,1102
PUNA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
PUNATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1479,1479
QUIABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
QUILLACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,319,319
QUIME,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
QUIRUSILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,29,29
RAVELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
REYES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,174,174
RIBERALTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,3103,3103
ROBORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1398,1398
RURRENABAQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,377,377
SACABA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2001,2001
SACABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
SACACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,290,290
SAIPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,95,95
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,58,58
SAMAIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,87,87
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,176,176
SAN BENITO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
SAN BORJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,522,522
SAN BUENA VENTURA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
SAN CARLOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2527,2527
SAN IGNACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,725,725
SAN IGNACIO DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,2755,2755
SAN JAVIER(BNI),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,30,30
SAN JAVIER(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,290,290
SAN JOAQUIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,116,116
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,1160,1160
SAN JUAN DE YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,376,376
SAN JULIAN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,841,841
SAN LORENZO(PND),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,85,85
SAN LUCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,520,520
SAN MATIAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,580,580
SAN MIGUEL DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,203,203
SAN PEDRO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-02-01,474,474
