,group,variable,month,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
URIONDO (A. CONCEPCION),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,15,1,16
URUBICHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,17,0,17
UYUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,43,2,45
VACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,0,7
VALLEGRANDE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,19,1,20
VIACHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,72,4,76
VILA VILA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
VILLA CHARCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,10,5,15
VILLA MONTES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,85,0,85
VILLA NUEVA (LOMA ALTA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,1,1,2
VILLA RIVERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
VILLA SERRANO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,12,6,18
VILLA TUNARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,84,0,84
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,11,2,13
VILLAZON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,54,0,54
VINTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,63,0,63
VITICHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,5,1,6
WALDO BALLIVIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,2,0,2
WARNES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,169,0,169
YACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,2,5
YACUIBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,203,0,203
YAMPARAEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
YANACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,0,3
YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,67,0,67
YOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,1,9
YOTALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,8,0,8
YUNCHARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,3,1,4
ZUDAÑEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-01-01,7,1,8
ACACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
ACHACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,27,0,27
ACHOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,5,14
AIQUILE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,19,2,21
ALCALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,1,6
ALTO BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,13,0,13
ANCORAIMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,2,10
ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,3,4
ANTEQUERA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
ANZALDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,4,8
APOLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,29,1,30
ARAMPAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,2,2
ARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,14,0,14
ARBIETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,13,0,13
ARQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,1,7
ASCENCION DE GUARAYOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,19,0,19
ATOCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,15,1,16
AUCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,3,5
AYATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,2,4
AYO AYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,0,8
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,10,3,13
AZURDUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,2,8
BATALLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,11,1,12
BAURES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,0,8
BELEN DE URMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
BELLA FLOR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,0,6
BERMEJO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,61,0,61
BETANZOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,21,2,23
BOLIVAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,1,2
BOLPEBRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
BOYUIBE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,7,0,7
BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,24,0,24
CABEZAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,29,0,29
CAIROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,1,7
"CAIZA ""D""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
CAJUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
CALACOTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,3,5
CALAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,16,2,18
CAMARGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,19,5,24
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,7,1,8
CAMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,44,0,44
CAPINOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,24,0,24
CAQUIAVIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,1,6
CARACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,19,1,20
CARANAVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,47,2,49
CARANGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,1,1
CARAPARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,18,1,19
CARIPUYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,7,10
CARMEN RIVERO TORREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
CATACORA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
CHACARILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
CHALLAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,38,3,41
CHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
CHARAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,53,2,55
CHARAÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
CHAYANTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,14,2,16
CHIMORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,34,2,36
CHIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
CHOQUE COTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
CHUA COCANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,1,4
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,60,0,60
CHUMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,14,0,14
CKOCHAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,11,0,11
CLIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,39,0,39
COBIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,88,0,88
COCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,7,7,14
COCHABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1079,0,1079
COIPASA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
COLCAPIRHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,108,0,108
"COLCHA ""K""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,13,0,13
COLLANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
COLOMI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,26,0,26
COLPA BELGICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,0,9
COLQUECHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,25,7,32
COLQUENCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
COLQUIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,6,10
COMANCHE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,1,1
COMARAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,22,0,22
COMBAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
CONCEPCION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,24,2,26
COPACABANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,15,4,19
CORIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,0,9
CORO CORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,1,5
COROICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,21,0,21
CORQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,3,6
COTAGAITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,21,3,24
COTOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,96,0,96
CUATRO CAÑADAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,15,0,15
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
CUEVO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
CULPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,23,7,30
CURAHUARA DE CARANGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,11,0,11
CURVA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,2,2
DESAGUADERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
EL ALTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,956,37,993
EL CHORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
EL PUENTE(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,19,0,19
EL PUENTE(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,1,9
EL TORNO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,113,0,113
EL VILLAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
ENTRE RIOS TRJ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,28,2,30
ENTRE RIOS CBBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,39,0,39
ESCOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,1,4
EUCALIPTUS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
EUREKA (SANTOS MERCADO),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,1,2
EXALTACION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
FERNANDEZ ALONSO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,21,0,21
FILADELFIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,0,9
GENERAL SAAVEDRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,15,0,15
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,0,8
GUANAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,26,5,31
GUAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
GUAYARAMERIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,86,1,87
GUTIERREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,26,2,28
HUACARETA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,12,4,16
HUACAYA (VILLA DE HUACAYA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
HUACHACALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
HUANUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,38,1,39
HUARACAJE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
HUARINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
HUATAJATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
HUAYLLAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
HUMANATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,2,2
ICHOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,1,1
ICLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,2,4
INCAHUASI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,7,6,13
INGAVI (HUMAITA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
INQUISIVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,4,8
IRUPANA (VILLA DE LANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,14,0,14
IXIAMAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,16,0,16
JESUS DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,15,0,15
LA ASUNTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,38,0,38
LA GUARDIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,60,0,60
LA PAZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,872,0,872
LAGUNILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
LAJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,13,0,13
LAS CARRERAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
LLALLAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,62,0,62
LLICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,1,7
LORETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
LURIBAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
MACHACAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
MACHARETI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,0,9
MAGDALENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,20,0,20
MAIRANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,16,0,16
MALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,0,1,1
MAPIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,20,0,20
MECAPACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,14,0,14
MINEROS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,30,0,30
MIZQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,29,0,29
MOCOMOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,7,5,12
MOJINETE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
MOJOCOYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,1,10
MONTEAGUDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,45,1,46
MONTERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,185,0,185
MORO MORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
MOROCHATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,3,11
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
NAZACARA DE PACAJES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
OCURI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,11,5,16
OKINAWA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,18,0,18
OMEREQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,5,0,5
ORURO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,398,0,398
PADCAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,14,2,16
PADILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,12,2,14
PAILON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,9,0,9
PALCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,18,0,18
PALOS BLANCOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,20,3,23
PAMPA AULLAGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
PAMPA GRANDE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,18,0,18
PAPEL PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
PASORAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,0,2
PATACAMAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,18,0,18
PAZÑA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
PELECHUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
POCOATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,10,9,19
POCONA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,11,2,13
POJO (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,17,0,17
POOPO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
PORCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,36,0,36
POROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,11,5,16
PORONGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,0,6
PORTACHUELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,69,0,69
PORVENIR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,8,0,8
POSTRER VALLE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,0,4
POTOSI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,276,0,276
PRESTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,7,9
PUCARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,33,3,36
PUERTO ACOSTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,6,9
PUERTO CARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,10,1,11
PUERTO GONZALO MORENO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,2,1,3
PUERTO PEREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,3,0,3
PUERTO QUIJARRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,52,0,52
PUERTO RICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,4,4,8
PUERTO SILES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
PUERTO SUAREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,24,0,24
PUERTO VILLARROEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,73,0,73
PUNA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,13,9,22
PUNATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,32,0,32
QUIABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,6,0,6
QUILLACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,180,16,196
QUIME,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,7,0,7
QUIRUSILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,1,0,1
RAVELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,10,8,18
REYES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,30,2,32
RIBERALTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-02-01,208,9,217
