,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2024-10-01,280,307,24,18,0,0,587,42,629
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2024-10-01,440,364,29,19,0,0,804,48,852
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2024-10-01,116,95,11,10,40,35,211,21,232
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,75,77,22,7,0,0,152,29,181
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2024-10-01,38,30,0,0,0,0,68,0,68
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,292,295,36,32,0,0,587,68,655
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,232,186,1,2,6,2,418,3,421
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,40,30,5,5,0,4,70,10,80
SAN PEDRO DE MACHA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,165,154,0,0,0,0,319,0,319
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2024-10-01,6,6,0,0,0,0,12,0,12
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,25,19,24,21,0,0,44,45,89
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2024-10-01,18,25,0,0,0,0,43,0,43
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2024-10-01,87,75,58,51,0,0,162,109,271
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,4,9,3,1,41,32,13,4,17
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2024-10-01,62,61,2,3,0,0,123,5,128
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,123,107,51,72,0,0,230,123,353
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,9709,8624,3609,3054,681,590,18333,6663,24996
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,85,85,7,0,3,0,170,7,177
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,169,183,2,3,16,17,352,5,357
SANTIAGO DE CALLAPA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,21,27,6,8,0,0,48,14,62
SANTIAGO DE HUARI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,53,46,11,6,0,0,99,17,116
SANTIAGO DE HUATA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,21,25,5,2,0,0,46,7,53
SANTIAGO DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,9,24,3,6,0,0,33,9,42
SANTIVAÑES,consulta externa,ninos  de 1 a 4 anos,2024-10-01,121,71,11,10,0,0,192,21,213
SANTUARIO DE QUILLACAS,consulta externa,ninos  de 1 a 4 anos,2024-10-01,22,21,1,3,24,18,43,4,47
SAPAHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,81,66,14,8,8,7,147,22,169
SENA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,99,95,1,1,0,0,194,2,196
SHINAOTA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,399,431,44,33,6,9,830,77,907
SICA SICA (VILLA AROMA),consulta externa,ninos  de 1 a 4 anos,2024-10-01,114,122,6,8,8,12,236,14,250
SICAYA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,46,38,17,19,0,0,84,36,120
SIPE SIPE,consulta externa,ninos  de 1 a 4 anos,2024-10-01,628,615,239,248,0,0,1243,487,1730
SOPACHUY,consulta externa,ninos  de 1 a 4 anos,2024-10-01,47,84,34,42,0,0,131,76,207
SORACACHI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,70,68,0,1,1,2,138,1,139
SORATA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,157,120,36,40,31,28,277,76,353
SUCRE,consulta externa,ninos  de 1 a 4 anos,2024-10-01,3002,2886,676,496,113,87,5888,1172,7060
TACACHI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,8,13,0,4,0,0,21,4,25
TACACOMA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,93,73,25,21,0,0,166,46,212
TACOBAMBA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,74,62,0,0,0,0,136,0,136
TACOPAYA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,51,43,2,1,0,0,94,3,97
TAHUA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,11,6,0,0,0,0,17,0,17
TAPACARI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,168,153,21,33,0,0,321,54,375
TARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,200,223,8,6,0,0,423,14,437
TARACO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,30,28,1,3,0,0,58,4,62
TARATA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,83,98,16,7,0,0,181,23,204
TARIJA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,2428,2245,642,584,125,108,4673,1226,5899
TARVITA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,238,228,8,12,2,5,466,20,486
TEOPONTE,consulta externa,ninos  de 1 a 4 anos,2024-10-01,109,91,29,31,0,0,200,60,260
TIAHUANACU,consulta externa,ninos  de 1 a 4 anos,2024-10-01,71,66,41,32,0,0,137,73,210
TINGUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,112,110,0,1,0,1,222,1,223
TIPUANI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,117,126,29,31,0,0,243,60,303
TIQUIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,840,839,137,124,0,0,1679,261,1940
TIRAQUE (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-10-01,152,114,87,86,0,0,266,173,439
TITO YUPANQUI (PARQUIPUJIO),consulta externa,ninos  de 1 a 4 anos,2024-10-01,7,6,2,0,0,0,13,2,15
TOCO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,45,43,22,7,3,0,88,29,117
TODOS SANTOS,consulta externa,ninos  de 1 a 4 anos,2024-10-01,3,6,0,1,0,0,9,1,10
TOLATA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,48,53,40,32,0,0,101,72,173
TOLEDO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,36,36,3,4,0,0,72,7,79
TOMAVE,consulta externa,ninos  de 1 a 4 anos,2024-10-01,92,58,1,0,0,0,150,1,151
TOMINA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,128,147,3,5,0,0,275,8,283
TORO TORO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,105,87,6,5,0,0,192,11,203
TOTORA(CBBA),consulta externa,ninos  de 1 a 4 anos,2024-10-01,192,179,22,30,3,3,371,52,423
TOTORA(ORR),consulta externa,ninos  de 1 a 4 anos,2024-10-01,28,24,2,1,1,1,52,3,55
TRIGAL,consulta externa,ninos  de 1 a 4 anos,2024-10-01,8,14,0,0,0,0,22,0,22
TRINIDAD,consulta externa,ninos  de 1 a 4 anos,2024-10-01,954,688,134,116,59,66,1642,250,1892
TUPIZA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,294,311,24,29,4,7,605,53,658
TURCO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,27,17,0,4,0,0,44,4,48
UMALA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,36,49,12,21,0,0,85,33,118
UNCIA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,201,216,10,9,8,14,417,19,436
URIONDO (A. CONCEPCION),consulta externa,ninos  de 1 a 4 anos,2024-10-01,225,264,36,48,74,89,489,84,573
URUBICHA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,41,38,2,1,41,33,79,3,82
UYUNI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,276,245,43,28,14,17,521,71,592
VACAS,consulta externa,ninos  de 1 a 4 anos,2024-10-01,60,56,4,3,4,3,116,7,123
VALLEGRANDE,consulta externa,ninos  de 1 a 4 anos,2024-10-01,119,120,91,102,1,6,239,193,432
VIACHA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,601,535,156,144,62,62,1136,300,1436
VILA VILA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,45,47,8,17,0,1,92,25,117
VILLA CHARCAS,consulta externa,ninos  de 1 a 4 anos,2024-10-01,155,138,4,3,10,7,293,7,300
VILLA MONTES,consulta externa,ninos  de 1 a 4 anos,2024-10-01,541,445,41,39,28,22,986,80,1066
VILLA NUEVA (LOMA ALTA),consulta externa,ninos  de 1 a 4 anos,2024-10-01,35,46,3,1,4,3,81,4,85
VILLA RIVERO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,96,90,20,11,0,0,186,31,217
VILLA SERRANO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,128,125,37,43,0,0,253,80,333
VILLA TUNARI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,1684,1656,197,192,72,60,3340,389,3729
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos  de 1 a 4 anos,2024-10-01,104,119,20,15,3,6,223,35,258
VILLAZON,consulta externa,ninos  de 1 a 4 anos,2024-10-01,327,263,22,22,57,44,590,44,634
VINTO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,742,738,178,167,0,0,1480,345,1825
VITICHI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,70,64,1,0,4,7,134,1,135
WALDO BALLIVIAN,consulta externa,ninos  de 1 a 4 anos,2024-10-01,9,13,23,22,0,0,22,45,67
WARNES,consulta externa,ninos  de 1 a 4 anos,2024-10-01,1379,1247,195,190,5,6,2626,385,3011
YACO,consulta externa,ninos  de 1 a 4 anos,2024-10-01,43,44,17,10,20,15,87,27,114
YACUIBA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,1266,1122,200,161,133,128,2388,361,2749
YAMPARAEZ,consulta externa,ninos  de 1 a 4 anos,2024-10-01,139,139,17,3,1,0,278,20,298
YANACACHI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,44,32,2,4,1,1,76,6,82
YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-10-01,771,676,84,74,10,12,1447,158,1605
YOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,48,34,1,0,0,0,82,1,83
YOTALA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,139,131,30,27,8,5,270,57,327
YUNCHARA,consulta externa,ninos  de 1 a 4 anos,2024-10-01,92,75,3,5,0,0,167,8,175
YUNGUYO DE LITORAL,consulta externa,ninos  de 1 a 4 anos,2024-10-01,4,5,1,3,0,0,9,4,13
ZUDAÑEZ,consulta externa,ninos  de 1 a 4 anos,2024-10-01,83,94,18,29,0,0,177,47,224
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,30,39,0,0,0,0,69,0,69
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,187,197,43,40,16,7,384,83,467
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,200,165,85,85,0,0,365,170,535
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,186,143,121,111,39,34,329,232,561
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-11-01,9,8,17,10,0,0,17,27,44
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,44,39,10,4,1,0,83,14,97
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,191,170,11,6,0,0,361,17,378
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,40,27,22,7,9,10,67,29,96
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,28,24,7,2,0,0,52,9,61
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,24,21,6,7,0,0,45,13,58
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,62,65,5,6,1,1,127,11,138
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,232,216,39,51,3,2,448,90,538
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,26,18,1,0,0,0,44,1,45
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,76,54,9,18,0,0,130,27,157
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,334,331,49,47,0,0,665,96,761
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,127,97,0,1,0,0,224,1,225
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,252,208,3,7,160,154,460,10,470
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,191,204,20,12,1,6,395,32,427
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,68,58,10,8,20,18,126,18,144
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,85,81,0,3,3,3,166,3,169
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,70,48,15,17,0,0,118,32,150
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,296,301,22,27,7,8,597,49,646
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-11-01,200,205,55,48,15,23,405,103,508
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,69,56,27,27,0,0,125,54,179
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-11-01,62,35,7,1,0,0,97,8,105
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,10,12,2,1,0,0,22,3,25
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,14,8,0,0,0,0,22,0,22
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-11-01,71,53,9,10,0,3,124,19,143
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,587,573,71,50,81,66,1160,121,1281
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,244,233,13,8,0,0,477,21,498
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-11-01,41,43,7,4,0,0,84,11,95
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,19,23,4,2,0,0,42,6,48
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,42,37,5,6,0,0,79,11,90
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,162,128,3,6,2,1,290,9,299
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,237,267,40,32,9,19,504,72,576
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,126,93,1,2,0,0,219,3,222
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,98,3,1,0,2,201,4,205
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,47,62,16,21,29,28,109,37,146
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,32,42,3,0,0,0,74,3,77
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,95,105,2,5,0,0,200,7,207
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,151,131,40,19,0,0,282,59,341
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,41,35,3,2,0,0,76,5,81
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,155,152,59,54,2,0,307,113,420
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,245,263,31,28,0,0,508,59,567
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,73,57,6,14,0,0,130,20,150
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,260,248,9,14,6,7,508,23,531
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,660,530,178,114,6,8,1190,292,1482
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,4,3,2,0,0,0,7,2,9
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,268,223,22,31,0,0,491,53,544
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,41,34,0,0,0,0,75,0,75
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,41,30,5,3,2,1,71,8,79
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,15,17,3,4,0,0,32,7,39
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,7,5,0,1,7,7,12,1,13
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,174,174,16,23,20,21,348,39,387
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,72,72,0,0,0,0,144,0,144
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,362,337,70,82,49,41,699,152,851
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,21,26,5,8,0,0,47,13,60
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,143,152,14,12,0,0,295,26,321
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,453,441,35,43,16,19,894,78,972
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,15,23,1,0,8,5,38,1,39
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,13,3,1,0,0,0,16,1,17
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2,6,35,22,0,0,8,57,65
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2024-11-01,134,108,33,33,4,1,242,66,308
CHUMA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,61,64,9,9,3,7,125,18,143
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,69,55,4,3,0,0,124,7,131
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,90,109,0,0,2,1,199,0,199
CLIZA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,187,198,81,76,0,0,385,157,542
COBIJA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,580,472,226,202,1,1,1052,428,1480
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,392,389,9,20,0,0,781,29,810
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,5884,5447,2100,1913,178,148,11331,4013,15344
COIPASA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,10,7,0,3,0,0,17,3,20
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,399,354,184,124,0,0,753,308,1061
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2024-11-01,242,198,31,14,1,3,440,45,485
COLLANA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,21,12,1,1,0,0,33,2,35
COLOMI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,155,143,40,44,19,15,298,84,382
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,96,102,7,22,1,3,198,29,227
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,135,117,2,0,0,0,252,2,254
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,90,92,23,21,0,0,182,44,226
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,109,101,6,10,5,10,210,16,226
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,14,16,4,1,0,0,30,5,35
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,180,157,20,27,0,0,337,47,384
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,27,20,2,1,0,0,47,3,50
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-11-01,200,221,25,26,2,1,421,51,472
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,47,40,4,2,0,0,87,6,93
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,181,121,11,6,2,7,302,17,319
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,73,88,10,8,0,0,161,18,179
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,196,158,42,42,11,2,354,84,438
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,66,75,10,7,3,2,141,17,158
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,224,208,15,14,1,3,432,29,461
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,764,690,79,43,116,87,1454,122,1576
CRUZ DE MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,3,1,0,0,0,0,4,0,4
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,202,176,27,32,19,16,378,59,437
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-11-01,27,25,2,5,0,0,52,7,59
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,46,33,22,26,0,0,79,48,127
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,168,142,14,13,0,0,310,27,337
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,32,17,2,1,7,5,49,3,52
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,47,34,1,2,1,1,81,3,84
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,33,33,5,8,7,5,66,13,79
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,5879,5495,2271,2127,439,377,11374,4398,15772
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,23,29,2,0,0,0,52,2,54
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-11-01,139,129,6,4,2,1,268,10,278
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,100,134,6,5,8,8,234,11,245
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,698,644,280,355,0,0,1342,635,1977
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-11-01,83,67,2,0,0,0,150,2,152
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,262,225,21,7,0,0,487,28,515
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,444,412,34,20,0,0,856,54,910
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,5,11,2,2,0,1,16,4,20
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,37,33,0,0,0,0,70,0,70
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,2,2,0,0,0,0,4,0,4
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,22,22,4,2,5,3,44,6,50
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-11-01,16,19,0,0,0,0,35,0,35
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-11-01,40,43,0,0,7,13,83,0,83
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,210,212,22,24,0,0,422,46,468
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,112,105,0,0,0,0,217,0,217
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,58,60,2,2,0,0,118,4,122
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,287,250,53,66,0,0,537,119,656
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-11-01,26,26,0,0,4,0,52,0,52
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-11-01,116,93,11,17,0,0,209,28,237
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-11-01,115,108,72,93,0,0,223,165,388
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,22,21,9,10,4,3,43,19,62
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-11-01,496,405,57,48,24,14,901,105,1006
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,201,226,9,7,0,0,427,16,443
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-11-01,21,15,12,6,1,1,36,18,54
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,53,52,20,28,23,27,105,48,153
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,27,30,8,6,0,0,57,14,71
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,11,5,2,5,1,2,16,7,23
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,147,134,95,33,13,11,281,128,409
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,32,37,33,22,0,0,69,55,124
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,11,9,11,8,0,0,20,19,39
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,43,41,16,12,0,0,84,28,112
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,20,11,15,19,0,0,31,34,65
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,45,40,10,9,7,1,85,19,104
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,94,42,31,0,0,197,73,270
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,208,211,4,1,14,36,419,5,424
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,15,17,2,1,0,0,32,3,35
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,84,4,2,3,3,187,6,193
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-11-01,140,185,83,68,0,0,325,151,476
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,130,146,35,45,0,0,276,80,356
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,67,59,19,17,1,2,126,36,162
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,386,321,66,67,86,72,707,133,840
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,1057,839,458,432,21,22,1896,890,2786
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2024-11-01,5417,4972,1986,1807,121,116,10389,3793,14182
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,4,3,0,0,0,0,7,0,7
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,137,117,23,20,0,0,254,43,297
LAJA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,103,116,19,35,0,0,219,54,273
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2024-11-01,33,51,2,0,0,0,84,2,86
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,23,25,0,1,0,0,48,1,49
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,340,357,10,7,1,2,697,17,714
LLICA,consulta externa,ninos  de 1 a 4 anos,2024-11-01,27,18,2,2,1,0,45,4,49
LORETO,consulta externa,ninos  de 1 a 4 anos,2024-11-01,33,23,12,14,15,7,56,26,82
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2024-11-01,90,103,13,9,0,0,193,22,215
