municipality,group,variable,month,Niños de 2 años a menores de 5 años con dosis comp,TOTAL
YANACACHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
YAPACANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,197,197
YOCALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,24,24
YUNCHARA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,32,32
ACHACACHI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,14,14
ACHOCALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,7,7
AIQUILE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,13,13
ALALAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
ALCALA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,57,57
ANCORAIMES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,23,23
ANDAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
ANTEQUERA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,11,11
ANZALDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,12,12
APOLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
ARBIETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,44,44
ARQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,450,450
ATOCHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,4,4
AUCAPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,18,18
AYATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,13,13
AYO AYO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,67,67
BATALLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,78,78
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,10,10
BELLA FLOR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,13,13
BERMEJO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,49,49
BETANZOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,43,43
BOLIVAR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,21,21
BOLPEBRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,10,10
BOYUIBE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,4,4
BUENA VISTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,141,141
CABEZAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,18,18
CAIROMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,132,132
"CAIZA ""D""",nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,12,12
CAJUATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,69,69
CALACOTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,23,23
CALAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,44,44
CAMIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,24,24
CAPINOTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,76,76
CAQUIAVIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,26,26
CARACOLLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,44,44
CARANAVI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,55,55
CARAPARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,148,148
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,20,20
CATACORA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
CHALLAPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,281,281
CHAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,19,19
CHARAGUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,8,8
CHARAÑA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,11,11
CHIMORE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,36,36
CHIPAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,30,30
CHUMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,9,9
CLIZA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,11,11
COBIJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,43,43
COCHABAMBA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,238,238
COLCAPIRHUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,35,35
"COLCHA ""K""",nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
COLOMI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,24,24
COLPA BELGICA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,26,26
COLQUECHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,115,115
COLQUENCHA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,47,47
COLQUIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,94,94
COMANCHE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,4,4
COMBAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,32,32
CONCEPCION,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,32,32
COPACABANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,109,109
CORIPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
CORO CORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,66,66
COROICO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,20,20
CORQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,16,16
CUATRO CAÑADAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,55,55
CUEVO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,9,9
CULPINA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,89,89
CURVA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,10,10
DESAGUADERO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
EL ALTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1122,1122
EL CHORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,17,17
EL PUENTE(TJA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,128,128
ENTRE RIOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,159,159
ENTRE RIOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,41,41
EUCALIPTUS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,28,28
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
EXALTACION,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,12,12
FERNANDEZ ALONSO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,51,51
FILADELFIA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,16,16
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,36,36
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,71,71
GUANAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
GUAQUI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,33,33
GUAYARAMERIN,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,119,119
GUTIERREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,17,17
HUACARETA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,26,26
HUACHACALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,4,4
HUANUNI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,36,36
ICHOCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,52,52
ICLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,195,195
INCAHUASI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,72,72
INGAVI (HUMAITA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
INQUISIVI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,128,128
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,17,17
IXIAMAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,13,13
JESUS DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,73,73
LA ASUNTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,36,36
LA PAZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1360,1360
LAGUNILLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
LAJA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,52,52
LAS CARRERAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,21,21
LICOMA PAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,19,19
LLALLAGUA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,2,2
LORETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,31,31
LURIBAY,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,64,64
MACHARETI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,57,57
MAGDALENA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
MAIRANA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,20,20
MALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,11,11
MECAPACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,52,52
MINEROS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,110,110
MIZQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,21,21
MOCOMOCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,75,75
MOJOCOYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,61,61
MONTEAGUDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,15,15
MONTERO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,125,125
MORO MORO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
MOROCHATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,18,18
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,8,8
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,2,2
OCURI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,28,28
OKINAWA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,94,94
OMEREQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,3,3
ORURO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,302,302
PADCAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,91,91
PADILLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,80,80
PAILON,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,13,13
PALCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,43,43
PALOS BLANCOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,30,30
PAMPA AULLAGAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
PAMPA GRANDE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,25,25
PAPEL PAMPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,3,3
PASORAPA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,9,9
PAZÑA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,15,15
PELECHUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,33,33
POCONA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,3,3
POJO (CBBA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,8,8
POOPO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,10,10
POROMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,41,41
PORTACHUELO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,86,86
PORVENIR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,12,12
POSTRER VALLE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,12,12
POTOSI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,166,166
PRESTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,28,28
PUCARANI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,122,122
PUERTO ACOSTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,65,65
PUERTO CARABUCO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,52,52
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,12,12
PUERTO PEREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,36,36
PUERTO QUIJARRO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,5,5
PUERTO RICO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,11,11
PUERTO SUAREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,14,14
PUERTO VILLARROEL,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,30,30
PUNA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,46,46
PUNATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
QUIABAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,53,53
QUILLACOLLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,563,563
QUIME,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,100,100
QUIRUSILLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,11,11
REYES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,297,297
RIBERALTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,137,137
ROBORE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,253,253
RURRENABAQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,15,15
SABAYA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,3,3
SACABA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,184,184
SACABAMBA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,1,1
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,23,23
SAMAIPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,34,34
SAN ANDRES,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,16,16
SAN BENITO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-02-01,6,6
