,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,0,3,0,3
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,16,11,16,11,27
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,0,2,0,2,2
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,7,7,7,7,14
SAN PEDRO(PND),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,0,1,0,1,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,4,1,4,5
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,0,4,0,4
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,0,4,0,4
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,18,0,18,0,18
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1912,13,1912,13,1925
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,9,0,9,0,9
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,2,3,2,5
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,0,1,0,1,1
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,0,3,0,3,3
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,3,1,3,4
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,3,1,3,4
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,7,1,7,8
SENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,1,2,1,3
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,34,1,34,1,35
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,12,6,12,6,18
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,1,3,1,4
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,34,6,34,6,40
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,5,0,5,0,5
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,2,3,2,5
SORATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,12,9,12,9,21
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,357,1,357,1,358
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,5,2,5,7
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,5,2,5,7
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,5,4,5,9
TAHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,1,1,1,2
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,19,1,19,20
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,12,5,12,5,17
TARACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,315,1,315,1,316
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,10,2,10,2,12
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,6,1,6,1,7
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,1,3,1,4
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,10,4,10,14
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,5,0,5,0,5
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,61,3,61,3,64
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,13,0,13,0,13
TITO YUPANQUI (PARQUIPUJIO),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,0,1,0,1,1
TOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,0,4,0,4
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,6,0,6,0,6
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,0,2,0,2
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,2,4,2,6
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,0,4,0,4
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,5,7,5,7,12
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,14,1,14,1,15
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,146,1,146,1,147
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,65,2,65,2,67
TURCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,1,2,1,3
UMALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,2,1,2,3
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,28,6,28,6,34
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,0,3,0,3
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,34,4,34,4,38
VACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,0,3,0,3
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,15,0,15,0,15
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,77,3,77,3,80
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,3,3,3,6
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,8,5,8,5,13
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,49,0,49,0,49
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,0,1,0,1,1
VILLA RIVERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,0,3,0,3
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,5,1,5,1,6
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,113,8,113,8,121
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,1,2,1,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,40,0,40,0,40
VINTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,65,7,65,7,72
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,3,0,3,0,3
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,1,2,1,3
WARNES,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,96,0,96,0,96
YACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,6,4,6,4,10
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,83,0,83,0,83
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,0,1,0,1
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,1,2,1,3
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,48,2,48,2,50
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,1,0,1,0,1
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,5,0,5,0,5
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,2,0,2,0,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-09-01,4,0,4,0,4
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,3,1,3,4
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,39,12,39,12,51
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,2,3,2,5
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,21,3,21,3,24
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,2,0,2,2
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,6,0,6,6
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
ANTEQUERA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,6,3,6,3,9
APOLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,7,11,7,18
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
ARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,0,11,0,11
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,3,0,3,3
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,55,1,55,1,56
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,6,0,6,0,6
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,7,1,7,8
AYATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,7,2,7,9
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,15,14,15,14,29
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,8,5,8,5,13
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,4,4,4,8
BELEN DE ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
BELEN DE URMIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
BELLA FLOR,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,33,0,33,0,33
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,6,11,6,17
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,4,3,4,7
BOLPEBRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,16,5,16,5,21
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,4,2,4,6
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,5,0,5,0,5
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,9,1,9,1,10
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,1,1,1,2
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,7,2,7,9
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,18,2,18,2,20
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,40,0,40,0,40
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,14,1,14,1,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,2,1,2,3
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,10,3,10,3,13
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,67,2,67,2,69
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,8,0,8,0,8
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,2,1,2,3
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,38,15,38,15,53
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,3,3,3,6
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,21,12,21,12,33
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,3,0,3,3
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,9,3,9,12
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,3,11,3,14
CHIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,18,0,18,0,18
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,4,1,4,5
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,6,3,6,9
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,30,0,30,0,30
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,85,1,85,1,86
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,10,7,10,7,17
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1113,8,1113,8,1121
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,38,0,38,0,38
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,3,3,3,6
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,1,11,1,12
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,14,9,14,9,23
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,5,4,5,9
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,7,6,7,6,13
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,17,2,17,2,19
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,33,0,33,0,33
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,7,0,7,7
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,12,2,12,2,14
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,4,0,4,4
COROICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,21,2,21,2,23
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,1,4,1,5
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,16,4,16,4,20
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,84,5,84,5,89
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,19,0,19,0,19
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,10,5,10,5,15
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
CURVA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,2,0,2,2
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,990,17,990,17,1007
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,57,0,57,0,57
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,9,1,9,1,10
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,23,0,23,0,23
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,5,0,5,0,5
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,4,0,4,4
EXALTACION,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,5,0,5,0,5
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,0,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,7,3,7,10
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,13,0,13,0,13
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,76,0,76,0,76
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,12,3,12,3,15
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,16,0,16,0,16
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,4,0,4,4
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,4,1,4,5
ICLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,3,3,3,6
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,10,4,10,14
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,9,3,9,12
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,6,3,6,9
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,9,1,9,1,10
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,6,4,6,4,10
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,30,5,30,5,35
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,70,0,70,0,70
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1084,4,1084,4,1088
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
LAJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,8,10,8,10,18
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,67,5,67,5,72
LLICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,1,1,1,2
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,15,0,15,0,15
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,12,0,12,0,12
MALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,1,0,1,1
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,18,0,18,0,18
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,0,11,0,11
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,27,2,27,2,29
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,3,1,3,4
MOJINETE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,1,2,1,3
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,27,0,27,0,27
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,82,0,82,0,82
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,5,3,5,8
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,1,1,1,2
OCURI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,7,4,7,11
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,5,1,5,1,6
ORURO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,506,16,506,16,522
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,1,4,1,5
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,19,0,19,0,19
PAILON,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,29,0,29,0,29
PALCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,8,2,8,10
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,16,9,16,9,25
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,2,0,2,2
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
PASORAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,31,5,31,5,36
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,6,2,6,8
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,8,11,8,19
POCONA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,7,1,7,1,8
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,10,0,10,0,10
POOPO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,1,1,1,2
PORCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,9,3,9,3,12
POROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,8,6,8,6,14
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,25,0,25,0,25
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,421,3,421,3,424
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,3,2,3,5
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,10,15,10,15,25
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,2,0,2,2
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,3,1,3,4
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,0,3,0,3
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,3,3,3,3,6
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,22,0,22,0,22
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,19,0,19,0,19
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,109,4,109,4,113
PUNA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,6,1,6,1,7
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,69,0,69,0,69
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,0,2,0,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,161,4,161,4,165
QUIME,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,8,0,8,0,8
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,4,2,4,2,6
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,2,2,2,2,4
REYES,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,14,1,14,1,15
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,211,0,211,0,211
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,12,0,12,0,12
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,36,1,36,1,37
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,0,2,0,2,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,195,3,195,3,198
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,11,11,11,11,22
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-10-01,1,0,1,0,1
