,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,4,2,4,6
RAVELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,4,2,4,6
REYES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,9,0,9,0,9
RIBERALTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,179,0,179,0,179
ROBORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,17,0,17,0,17
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,30,2,30,2,32
SABAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,0,3,0,3
SACABA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,190,3,190,3,193
SACACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,8,9,8,9,17
SAIPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,5,1,5,1,6
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
SAN AGUSTIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,6,0,6,0,6
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,5,1,5,6
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,1,3,1,4
SAN BENITO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,0,3,0,3
SAN BORJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,51,20,51,20,71
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,18,0,18,0,18
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,17,3,17,3,20
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,69,1,69,1,70
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,15,0,15,0,15
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,16,0,16,0,16
SAN JULIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,63,1,63,1,64
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,3,2,3,5
SAN LUCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,20,13,20,13,33
SAN MATIAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,17,0,17,0,17
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,8,0,8,0,8
SAN PABLO DE LIPEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,1,0,1,1
SAN PEDRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,15,11,15,11,26
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,2,0,2,2
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,7,7,7,7,14
SAN PEDRO(PND),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,1,0,1,1
SAN RAFAEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,4,1,4,5
SAN RAMON BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,0,4,0,4
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,0,4,0,4
SANTA ANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,18,0,18,0,18
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1312,0,1312,0,1312
SANTA ROSA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,9,0,9,0,9
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,1,3,1,4
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,1,0,1,1
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,3,0,3,3
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,3,1,3,4
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,3,1,3,4
SANTIVAÑES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,0,1,0,1
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,3,1,3,4
SENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
SHINAOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,34,0,34,0,34
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,12,6,12,6,18
SICAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,0,1,0,1
SOPACHUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,5,0,5,0,5
SORACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,2,3,2,5
SORATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,10,5,10,5,15
SUCRE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,340,1,340,1,341
TACACOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
TACOBAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,5,2,5,7
TACOPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,3,0,3,3
TAHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,1,1,1,2
TAPACARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,7,1,7,8
TARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,12,5,12,5,17
TARACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,1,1,1,2
TARATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,0,3,0,3
TARIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,294,0,294,0,294
TARVITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,9,2,9,2,11
TEOPONTE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,6,1,6,1,7
TIAHUANACU,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,1,3,1,4
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,7,4,7,11
TIPUANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,5,0,5,0,5
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,61,3,61,3,64
TITO YUPANQUI (PARQUIPUJIO),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,0,1,0,1,1
TOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,0,4,0,4
TOLATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,6,0,6,0,6
TOLEDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,0,2,0,2
TOMAVE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,2,4,2,6
TOMINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,0,4,0,4
TORO TORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,5,7,5,7,12
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,14,0,14,0,14
TRINIDAD,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,153,0,153,0,153
TUPIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,67,2,67,2,69
TURCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
UMALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,0,1,0,1
UNCIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,27,4,27,4,31
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,0,3,0,3
URUBICHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,30,2,30,2,32
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,15,0,15,0,15
VIACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,68,1,68,1,69
VILA VILA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,2,3,2,5
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,8,5,8,5,13
VILLA MONTES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,45,0,45,0,45
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,5,1,5,1,6
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,101,4,101,4,105
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
VILLAZON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,32,0,32,0,32
VINTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,54,3,54,3,57
VITICHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,3,0,3,0,3
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
WARNES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,96,0,96,0,96
YACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,6,4,6,4,10
YACUIBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,80,0,80,0,80
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,0,1,0,1
YANACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,1,2,1,3
YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,48,2,48,2,50
YOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,1,0,1,0,1
YOTALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,5,0,5,0,5
YUNCHARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,2,0,2,0,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-09-01,4,0,4,0,4
ACACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,3,1,3,4
ACHACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,39,13,39,13,52
AIQUILE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,21,0,21,0,21
ALALAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,2,0,2,2
ALTO BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
ANCORAIMES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,6,0,6,6
ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,1,2,1,3
ANTEQUERA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
ANZALDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,6,1,6,1,7
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
ARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
ARBIETO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,9,0,9,0,9
ARQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,3,0,3,3
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,56,0,56,0,56
ATOCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,6,0,6,0,6
AYO AYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,15,9,15,9,24
AZURDUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,8,5,8,5,13
BATALLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,4,3,4,3,7
BELEN DE ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
BELEN DE URMIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
BELLA FLOR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,29,0,29,0,29
BETANZOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,11,0,11,0,11
BOLIVAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,4,3,4,7
BOLPEBRA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
BOYUIBE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,16,5,16,5,21
CAIROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,3,2,3,5
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,5,0,5,0,5
CAJUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,7,1,7,1,8
CALACOTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
CALAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,6,2,6,8
CAMARGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,19,1,19,1,20
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
CAPINOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,14,1,14,1,15
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,2,1,2,3
CARACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,10,2,10,2,12
CARANAVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,64,1,64,1,65
CARAPARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,7,0,7,0,7
CARIPUYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,2,1,2,3
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
CHALLAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,38,8,38,8,46
CHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,3,3,3,6
CHARAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,17,11,17,11,28
CHARAÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
CHAYANTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,8,2,8,10
CHIMORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,2,2,2,4
CHIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,18,0,18,0,18
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
CKOCHAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,6,3,6,9
CLIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,30,0,30,0,30
COBIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,71,1,71,1,72
COCAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,10,7,10,7,17
COCHABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1018,2,1018,2,1020
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,38,0,38,0,38
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
COLLANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,11,1,11,1,12
COLQUECHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,14,9,14,9,23
COLQUENCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,4,5,4,5,9
COLQUIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,7,4,7,4,11
COMARAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,17,0,17,0,17
CONCEPCION,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,33,0,33,0,33
CORIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,12,0,12,0,12
CORO CORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
COROICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,19,2,19,2,21
CORQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,4,1,4,1,5
COTAGAITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,16,4,16,4,20
COTOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,81,4,81,4,85
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,19,0,19,0,19
CUEVO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,9,0,9,0,9
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
EL ALTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,638,13,638,13,651
EL CHORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
EL TORNO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,57,0,57,0,57
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,8,1,8,1,9
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,16,0,16,0,16
ESCOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,5,2,5,2,7
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,3,0,3,3
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,5,0,5,0,5
FILADELFIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
GUANAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,13,0,13,0,13
GUAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,63,0,63,0,63
GUTIERREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,12,1,12,1,13
HUACARETA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
HUANUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,16,0,16,0,16
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,4,0,4,4
ICHOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,3,1,3,4
ICLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,3,3,3,6
INCAHUASI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,4,10,4,10,14
INQUISIVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,2,3,2,5
IXIAMAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,6,4,6,4,10
LA ASUNTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,32,3,32,3,35
LA GUARDIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,70,0,70,0,70
LA PAZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,571,2,571,2,573
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
LAJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,4,0,4,0,4
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
LICOMA PAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,65,5,65,5,70
LLICA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
LORETO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
LURIBAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
MACHACAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
MAGDALENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,14,0,14,0,14
MAIRANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,12,0,12,0,12
MALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,1,0,1,1
MAPIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,18,0,18,0,18
MECAPACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,0,2,0,2
MINEROS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,10,0,10,0,10
MIZQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,27,2,27,2,29
MOCOMOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,3,1,3,4
MOJINETE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,2,1,2,1,3
MOJOCOYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,27,0,27,0,27
MONTERO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,27,0,27,0,27
MOROCHATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,4,3,4,7
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,1,1,1,2
OCURI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,7,3,7,10
OMEREQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,5,1,5,1,6
ORURO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,458,3,458,3,461
PADCAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,4,1,4,1,5
PADILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,19,0,19,0,19
PAILON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,29,0,29,0,29
PALCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,7,0,7,7
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,16,9,16,9,25
PAMPA AULLAGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,0,2,0,2,2
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,3,0,3,0,3
PASORAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-10-01,31,3,31,3,34
