,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,9,7,16
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,1,1
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,3,3
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,41,82,123
UYUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,0,1
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,53,53
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,7,57,64
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,20,20
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,29,31
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,4,260,264
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,18,20
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,7,116,123
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,8,53,61
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,8,78,86
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,9,9
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,11,14
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,11,12
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,3,5
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,7,7
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,64,65
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,3,3
ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,47,49
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,22,190,212
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,21,21
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,38,38
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,67,67
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,2,2
BOLIVAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,5,6
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,7,7
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,3,3
CAJUATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,50,50
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,15,15
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,14,15
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,15,16,31
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,6,1,7
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,5,40,45
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,6,14,20
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,28,31
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,2,4
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,10,71,81
COCAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,6,6
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,73,591,664
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,9,9
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,5,12,17
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,12,15
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,9,9
CORIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,4,6
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,55,2,57
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,6,12,18
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,30,30
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,56,56
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,32,32
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,192,2085,2277
EL CHORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,13,13
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,75,100,175
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,4,4
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,16,93,109
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,6,7
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,8,8,16
ESCARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,6,6
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,15,15
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,15,16
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,24,34,58
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
HUACHACALLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,51,51
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,9,9
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,3,3
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,6,13,19
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,6,53,59
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,299,506,805
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,11,11
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,14,0,14
MACHACAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,19,19
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,24,24
MAPIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,12,13,25
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,61,61
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,41,43
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,10,10
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,80,82
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,14,192,206
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,6,6
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,14,17
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,45,297,342
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,17,18
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,20,20
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,13,16
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,10,11
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,31,102,133
PAZÑA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,14,15
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,8,8
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,17,18
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,2,4
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,21,116,137
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,30,34
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,23,25
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,50,50
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,11,45,56
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,10,232,242
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,113,117
QUIABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,6,9
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,9,10
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,19,21
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,48,48
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,50,50
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,62,63
SALINAS DE GARCI MENDOZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,0,1
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,71,73
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,21,46,67
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,29,88,117
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,24,24
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,16,19
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,36,40
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,5,7
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,19,19
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,15,17
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,113,114
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,16,20
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,24,28
SAN PEDRO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,1,1
SAN RAFAEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,26,30
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,72,74
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,270,1102,1372
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,14,14
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,26,28
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,33,57,90
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,104,108
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,19,19
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,4,4
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,55,1044,1099
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,28,29
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,15,15
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,61,171,232
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,26,29
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,16,20
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,3,3
TOTORA(CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,0,1
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,175,46,221
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,16,16
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,22,8,30
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,22,23
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,1,4,5
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,16,37,53
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,50,50
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,2,49,51
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,64,64
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,3,3
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,15,15
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,265,268
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,4,30,34
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,195,198
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,87,149,236
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,11,90,101
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,4,4
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,16,16
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,3,2,5
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-08-01,0,7,7
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,37,39
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,6,39,45
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,5,5
ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,4,4
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,4,5
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,41,107,148
AYATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,1,1
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,16,16
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,23,23
BELEN DE ANDAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,1,1
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,57,57
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,6,6
BOLIVAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,8,12
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,8,8
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,28,29
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,33,33
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,10,10
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,111,116
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,4,6
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,8,13
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,10,121,131
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,18,18
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,76,76
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,18,20
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,46,47
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,270,273
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,78,304,382
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,10,10
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,4,7
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,2,5
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,42,42
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,38,38
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,8,9
COTAGAITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,13,14
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,26,28
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,61,1855,1916
EL CHORO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,15,15
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,10,10
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,4,5
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,31,91,122
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,5,6
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,10,16,26
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,4,4
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,7,7
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,8,8
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,32,34
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,15,17
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,81,323,404
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,17,17
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,2,2
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,9,85,94
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,43,48
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,8,8
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,18,21
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,6,133,139
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,301,318,619
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,13,14
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,95,99
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,17,17
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,36,36
MAPIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,38,41
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,51,51
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,4,7
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,14,14
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,13,103,116
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,7,297,304
MOROCHATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,7,7
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,3,3
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,74,300,374
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,16,16
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,25,25
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,14,15
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,29,32
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,16,70,86
POOPO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,5,5
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,1,2
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,9,11
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,3,0,3
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,13,15
POSTRER VALLE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,1,1
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,47,135,182
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,13,13
PUERTO CARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,10,11
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,16,16
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,7,5,12
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,35,37
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,5,48,53
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,13,200,213
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,10,90,100
QUIABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,8,3,11
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,12,13
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,10,14
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,38,42
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,4,57,61
SABAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,2,2
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,2,75,77
SALINAS DE GARCI MENDOZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,4,4
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,1,2,3
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,24,129,153
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,63,37,100
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,42,89,131
SAN JAVIER(BNI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-09-01,0,2,2
