municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,2728,2728
COCAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,51498,51498
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1185,1185
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,434,434
CONCEPCION,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,275,275
CORIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,992,992
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,651,651
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,683,683
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,217,217
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1100,1100
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,18174,18174
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,2682,2682
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,664,664
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,154,154
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
FILADELFIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
GUAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,2154,2154
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,640,640
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,546,546
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,147,147
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1736,1736
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
HUATAJATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,61,61
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,230,230
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,403,403
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1887,1887
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,69044,69044
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1085,1085
LURIBAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,310,310
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,279,279
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,154,154
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,899,899
MOCOMOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
MOJINETE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,329,329
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1700,1700
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,4195,4195
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,310,310
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,372,372
OKINAWA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,217,217
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,19105,19105
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,465,465
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,872,872
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,310,310
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,240,240
PAZÑA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,217,217
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,651,651
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1054,1054
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,167,167
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,11182,11182
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,279,279
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,123,123
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,393,393
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,288,288
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1116,1116
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1643,1643
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,214,214
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1581,1581
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,996,996
QUIME,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,182,182
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,3472,3472
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1606,1606
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,651,651
SABAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1798,1798
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,310,310
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,211,211
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,93,93
SAN ANDRES DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,120,120
SAN BENITO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,589,589
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,217,217
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,734,734
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,2449,2449
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1364,1364
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,817,817
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,1090,1090
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,84,84
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,775,775
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,806,806
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,217,217
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,248,248
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,217,217
SAN RAMON SCZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,610,610
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,403,403
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,48298,48298
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,186,186
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,124,124
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,155,155
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,168,168
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,682,682
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,30,30
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,961,961
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-05-01,67,67
