municipality,group,variable,month,Total Días camas ocupadas otros servicios,TOTAL
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1061,1061
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,48,48
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,50,50
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,244,244
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,79,79
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,61,61
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,50,50
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,101,101
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,37,37
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,22,22
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2,2
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,70,70
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,38,38
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,84,84
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,236,236
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,32062,32062
SANTA ROSA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,52,52
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,13,13
SENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,8,8
SHINAOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,126,126
SICA SICA (VILLA AROMA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,42,42
SICAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,28,28
SOPACHUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,21,21
SORATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,28,28
SUCRE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,20965,20965
TACOPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,12,12
TAPACARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1,1
TARABUCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,122,122
TARATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,4,4
TARIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,10127,10127
TARVITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,12,12
TIAWANACU,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,11,11
TIPUANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,24,24
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,138,138
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
TOLATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,14,14
TOMINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,47,47
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,45,45
TRIGAL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,13,13
TRINIDAD,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,2612,2612
TUPIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,657,657
UNCIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
URUBICHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,23,23
UYUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,303,303
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,266,266
VILLA MONTES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,576,576
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,10,10
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,397,397
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,4,4
VILLAZON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,488,488
VINTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,84,84
VITICHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,4,4
WARNES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,370,370
YACUIBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,1880,1880
YAMPARAEZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,3,3
YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,12,12
YOTALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,50,50
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-02-01,21,21
ACHACACHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,92,92
AIQUILE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,118,118
ALCALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,62,62
ANZALDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,341,341
APOLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,25,25
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,2,2
ARANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,6,6
ARQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,31,31
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,528,528
ATOCHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,71,71
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,53,53
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,35,35
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,49,49
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,941,941
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,19,19
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,76,76
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,58,58
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,71,71
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3,3
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1878,1878
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,36,36
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,12,12
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,209,209
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,15,15
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,144,144
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,133,133
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,214,214
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,7,7
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,119,119
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1974,1974
COCAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,33374,33374
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,194,194
"COLCHA ""K""",internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,5,5
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,86,86
COLQUIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,6,6
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,258,258
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,244,244
COTAGAITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3,3
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,447,447
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,162,162
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,7,7
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,62,62
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,9407,9407
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,28,28
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,852,852
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,81,81
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,18,18
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,128,128
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,9,9
FILADELFIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,6,6
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,102,102
GUAQUI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1355,1355
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,47,47
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,154,154
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,29,29
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,574,574
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,48,48
HUATAJATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3,3
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,8,8
HUMANATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
ICHOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,60,60
ICLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,5,5
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,5,5
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,72,72
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,47,47
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,13,13
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,734,734
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,52583,52583
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,6,6
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,706,706
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,4,4
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,12,12
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,234,234
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,83,83
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,10,10
MECAPACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,115,115
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,29,29
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,29,29
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,486,486
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3020,3020
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,2,2
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
OCURI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3,3
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,102,102
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,7312,7312
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,337,337
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,62,62
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,95,95
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,24,24
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,9,9
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,23,23
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3,3
POROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,1,1
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,533,533
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,3,3
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,2,2
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,8081,8081
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,60,60
PUCARANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,2,2
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-03-01,227,227
