,group,variable,month,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
ROBORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,41,44
RURRENABAQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,29,32
SACABA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,18,289,307
SAMAIPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,13,13
SAN BENITO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,2,2
SAN CARLOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,53,55
SAN IGNACIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,32,33
SAN IGNACIO DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,23,100,123
SAN JAVIER(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,25,26
SAN JOSE DE CHIQUITOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,10,16,26
SAN JUAN DE YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,25,28
SAN JULIAN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,0,3
SAN LORENZO(PND),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,24,25
SAN LORENZO(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,73,73
SAN LUCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,53,54
SAN MATIAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,22,22
SAN MIGUEL DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,18,18
SAN PEDRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,12,51,63
SAN PEDRO DE BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,21,21
SAN RAFAEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,3,3
SANTA ANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,210,835,1045
SANTA ROSA DEL SARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,13,13
SENA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,22,23
SHINAOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,10,14,24
SIPE SIPE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,3,3
SOPACHUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,13,14
SUCRE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,73,700,773
TARABUCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,69,72
TARATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,12,12
TARIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,40,155,195
TARVITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,31,31
TIAWANACU,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,13,14
TOCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,9,9
TOLATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,9,9
TOLEDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,7,7
TOMINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,5,5
TOTORA(CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,2,5
TRINIDAD,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,408,273,681
TUPIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,3,12,15
TURCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,24,9,33
UNCIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,16,18
URIONDO (A. CONCEPCION),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,6,6
URUBICHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,5,25,30
VALLEGRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,47,47
VILLA CHARCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,15,15
VILLA SERRANO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,13,13
VILLA TUNARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,2,246,248
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,11,41,52
VILLAZON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,6,107,113
WARNES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,1,55,56
YACUIBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,10,87,97
YAMPARAEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,6,6
YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,5,64,69
YOTALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,9,9
YUNCHARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,4,4
ZUDAÑEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-02-01,0,15,15
ACHACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,106,28,134
AIQUILE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,6,7,13
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,5,5
APOLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,37,39
ARQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,6,7
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,13,82,95
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,28,30
BOLPEBRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,2,2
BOYUIBE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,5,5
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,20,24,44
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,10,10
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,26,0,26
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,4,6
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,112,112
CAPINOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,2,5
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,25,11,36
CARAPARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,4,7
CARMEN RIVERO TORREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,31,26,57
CHALLAPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,1,4
CHIMORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,8,8
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,5,60,65
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,34,243,277
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,56,825,881
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,12,26,38
COLQUIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,0,1
COMARAPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,2,3
COROICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,41,44
CORQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,4,9,13
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,15,15
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,14,15
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,35,35
DESAGUADERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,14,15
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,252,2196,2448
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,32,59,91
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,130,254,384
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,2,2
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,18,22,40
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,4,20,24
EUCALIPTUS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,19,19
EUREKA (SANTOS MERCADO),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,6,7
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,14,15
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,8,8
GENERAL SAAVEDRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,25,25
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,11,25,36
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,10,38,48
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,10,11
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,4,4
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,15,15
HUACHACALLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,4,6
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,46,46
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,29,30
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,9,9
INGAVI (HUMAITA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,7,7
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,0,1
LA ASUNTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,9,67,76
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,90,93
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,45,1017,1062
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,1,1
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,5,26,31
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,26,27
MAPIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,1,1
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,1,1
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,15,15
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,6,93,99
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,171,401,572
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,8,11
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,4,4
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,26,548,574
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,13,13
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,42,44
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,17,18
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,18,18
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,2,39,41
PAZÑA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,0,1
POJO (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,8,9
PORONGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,6,5,11
PORTACHUELO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,4,1,5
PORVENIR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,4,35,39
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,12,43,55
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,15,16
PUCARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,1,15,16
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,5,8,13
PUERTO RICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,11,40,51
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,30,30
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,5,0,5
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,6,131,137
QUILLACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,0,7,7
QUIME,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-03-01,3,22,25
