municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,899,899
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,558,558
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,30,30
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,418,418
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1890,1890
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,775,775
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,770,770
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,832,832
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,30,30
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,339,339
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,558,558
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,4966,4966
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,279,279
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,52082,52082
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,6603,6603
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,616,616
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,30,30
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,185,185
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,496,496
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,186,186
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,434,434
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,61,61
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,434,434
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,403,403
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,620,620
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,434,434
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,279,279
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,61,61
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,24422,24422
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,899,899
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,681,681
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,248,248
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,113,113
FILADELFIA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,21,21
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,148,148
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1736,1736
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,620,620
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,710,710
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,279,279
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1736,1736
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,60,60
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,527,527
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,434,434
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,170,170
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,258,258
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2810,2810
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,85018,85018
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2,2
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,372,372
LICOMA PAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,30,30
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,24,24
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,186,186
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,402,402
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,579,579
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,868,868
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,90,90
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2144,2144
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,6449,6449
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1333,1333
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,27242,27242
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,123,123
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,341,341
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,97,97
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,713,713
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,310,310
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,248,248
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,93,93
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,62,62
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,992,992
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2190,2190
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,120,120
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,21872,21872
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,496,496
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,465,465
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,112,112
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,793,793
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,392,392
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,166,166
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2387,2387
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,558,558
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,3224,3224
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,4185,4185
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2,2
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,155,155
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,713,713
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,186,186
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,4084,4084
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1401,1401
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,620,620
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,4897,4897
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,59,59
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,341,341
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,259,259
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,341,341
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,90,90
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,737,737
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1085,1085
SAN CARLOS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,31,31
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,553,553
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,2759,2759
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,25,25
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,341,341
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,248,248
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,827,827
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,661,661
SAN LORENZO(PND),internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,3,3
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,1209,1209
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,682,682
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,310,310
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,313,313
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,124,124
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,434,434
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,153,153
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,186,186
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,26,26
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,620,620
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-05-01,74393,74393
