municipality,group,variable,month,8. Días camas ocupadas otros servicios,TOTAL
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,891,891
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,71,71
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,27,27
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,308,308
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,51,51
SAN JULIAN,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,853,853
SAN LUCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,109,109
SAN MATIAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,151,151
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,21,21
SAN PEDRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,101,101
SAN RAFAEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,71,71
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,31,31
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,26,26
SANTA ANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,165,165
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,49454,49454
SANTA ROSA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,161,161
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,64,64
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
SHINAOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,87,87
SOPACHUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,9,9
SORATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,4,4
SUCRE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,22707,22707
TACACOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,7,7
TACOPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,8,8
TARABUCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,281,281
TARATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1,1
TARIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,9442,9442
TARVITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,41,41
TIPUANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,10,10
TIQUIPAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,353,353
TORO TORO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,5,5
TRINIDAD,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,4089,4089
TUPIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,803,803
UNCIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,8,8
UYUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,471,471
VALLEGRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,639,639
VIACHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,417,417
VILA VILA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
VILLA MONTES,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,591,591
VILLA RIVERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,3,3
VILLA SERRANO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,4,4
VILLA TUNARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2202,2202
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
VILLAZON,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,581,581
VINTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,448,448
VITICHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,58,58
WARNES,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,853,853
YACUIBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,1999,1999
YAPACANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,801,801
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-02-01,2,2
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,84,84
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,247,247
ALCALA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,3,3
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,9,9
ANTEQUERA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,45,45
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,3,3
ARBIETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,807,807
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,306,306
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,87,87
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,40,40
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,25,25
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1083,1083
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2,2
BOLIVAR,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,4,4
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,70,70
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,91,91
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,323,323
CAIROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,5,5
CAJUATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,44,44
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,259,259
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,519,519
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,159,159
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,16,16
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,418,418
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,63,63
CARIPUYO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,32,32
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,408,408
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,242,242
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,170,170
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,171,171
CHUMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,5,5
CKOCHAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,62,62
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,175,175
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2240,2240
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,31703,31703
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,3871,3871
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,6,6
COLPA BELGICA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,14,14
COLQUENCHA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,10,10
COLQUIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,32,32
COMARAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,234,234
CONCEPCION,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,270,270
COROICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,223,223
COTAGAITA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2,2
COTOCA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1009,1009
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,133,133
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,3,3
CUEVO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2,2
CULPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,73,73
DESAGUADERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
EL ALTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,16580,16580
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,98,98
EL TORNO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,503,503
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,111,111
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,266,266
ESCOMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,36,36
EXALTACION,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,4,4
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,122,122
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,13,13
GUANAY,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,43,43
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,978,978
GUTIERREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,67,67
HUACARAJE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,25,25
HUACARETA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,44,44
HUANUNI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,423,423
HUARINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
ICLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,12,12
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,26,26
IXIAMAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,13,13
LA ASUNTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,26,26
LA GUARDIA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,844,844
LA PAZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,52598,52598
LAGUNILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,4,4
LLALLAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,613,613
LORETO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,6,6
MACHARETI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,17,17
MAGDALENA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,155,155
MAIRANA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,91,91
MAPIRI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,15,15
MINEROS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,134,134
MIZQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,184,184
MOCOMOCO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,3,3
MONTEAGUDO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,506,506
MONTERO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,5771,5771
MORO MORO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,4,4
OCURI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
OMEREQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,26,26
ORURO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,14015,14015
PADILLA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,274,274
PAILON,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,300,300
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,84,84
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,30,30
PASORAPA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1,1
PATACAMAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,137,137
POCONA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,32,32
POJO (CBBA),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,5,5
POROMA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,18,18
PORONGO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,108,108
PORTACHUELO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,307,307
POTOSI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,8322,8322
PRESTO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,50,50
PUCARANI,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,24,24
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,388,388
PUERTO RICO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,38,38
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,335,335
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1205,1205
PUNATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,919,919
QUILLACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1745,1745
QUIRUSILLAS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,7,7
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,9,9
REYES,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,133,133
RIBERALTA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,2351,2351
ROBORE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,378,378
RURRENABAQUE,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,502,502
SABAYA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,12,12
SACABA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,1966,1966
SACABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,13,13
SACACA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,3,3
SAIPINA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,50,50
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,9,9
SAMAIPATA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,28,28
SAN ANDRES,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,5,5
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,18,18
SAN BORJA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,521,521
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,551,551
SAN CARLOS,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,26,26
SAN IGNACIO,internaciones dias camas,dias camas ocupadas otros servicios,2024-03-01,237,237
